Date,Forecast,Lower Confidence Bound (85%),Upper Confidence Bound (85%)
2023-01-01,373.29452797426876,52.294527136045744,652.3910202511396
2023-01-02,569.5556879719026,258.91981607493403,878.5510854844678
2023-01-03,572.2546132523502,267.25878383965716,877.0581992048699
2023-01-04,555.1534759133696,252.53802521428798,856.7663548004199
2023-01-05,568.8116710895926,255.56889492775443,865.8251887949401
2023-01-06,570.2003522135043,251.70909430965557,856.9878693949489
2023-01-07,394.37062024687015,100.07286495643194,696.511210999251
2023-01-08,380.75162294336496,70.07968594252297,689.8469000800524
2023-01-09,582.0117532520975,273.4341713303827,872.3816362607224
2023-01-10,584.7184698561747,286.10631163816697,890.6854860832287
2023-01-11,567.1200397256408,284.53458758179744,864.3721570640664
2023-01-12,581.0661184993953,283.3723701765701,872.6345150253776
2023-01-13,582.4298926020153,275.9868948275814,894.1746637972929
2023-01-14,402.1045562248947,115.227430883238,717.4276838863436
2023-01-15,397.30050306286404,75.52646854973551,699.1993176085518
2023-01-16,603.5918337849107,303.06172705682684,905.6098846753565
2023-01-17,606.3385718147083,296.510848261306,908.7865528538242
2023-01-18,588.2750789949393,297.24365090901745,910.1473106715146
2023-01-19,602.5412714684223,312.3386734564123,924.1982183245784
2023-01-20,603.9123686520152,287.6673329210421,905.0164469454697
2023-01-21,409.72947620066816,119.97557194862318,728.6086097659446
2023-01-22,395.33876487507,77.14187329629,713.7127736097207
2023-01-23,606.596835805891,310.4867535669129,924.3702104040088
2023-01-24,609.3191350570479,320.9042291731255,906.7518999162642
2023-01-25,590.7261191426348,306.5995039273308,896.0612840103242
2023-01-26,605.2479649018833,308.75644952862564,921.644173812236
2023-01-27,606.5619247574185,301.0564974021624,895.8229184452083
2023-01-28,417.24537961215174,100.78958349296875,711.1460802204197
2023-01-29,402.46881116206237,79.93968250833387,693.1889522100458
2023-01-30,618.7258518374215,292.78268139755306,930.3387934991165
2023-01-31,621.4559422035134,296.7100605482907,930.3061239370326
2023-02-01,609.4406872700907,309.0717512134875,910.8088558759637
2023-02-02,624.2738073454493,326.70826563369565,930.9296214934457
2023-02-03,625.5862509298013,338.0717185395283,925.6430353076795
2023-02-04,431.7974925735229,119.84360255433018,750.1613406340529
2023-02-05,416.6584578987382,120.05813849211937,722.54375756436
2023-02-06,637.9378591301918,321.0713196484845,923.6744126339445
2023-02-07,640.6991315666406,316.8271337183807,928.3505883445781
2023-02-08,621.1349209168774,316.4417158469688,918.393520273812
2023-02-09,636.255924560775,352.78466812894305,951.6207979368402
2023-02-10,637.5434611263538,326.3528079107034,931.4872416585846
2023-02-11,439.2590988115657,140.74828652844147,720.2374037032972
2023-02-12,423.73420716450613,108.3258299567187,734.2243494808903
2023-02-13,650.0125782044208,352.32454967922723,961.218031544032
2023-02-14,652.7816419637788,344.17875590166716,970.7293987041307
2023-02-15,642.9200728225759,344.09755834910663,947.2121040649324
2023-02-16,658.3611901340604,368.7053908508293,968.3973606039887
2023-02-17,659.6560497798763,370.8225961844116,960.2973029655344
2023-02-18,458.622912075565,146.96068359233067,779.8960928756629
2023-02-19,444.3294916831932,136.45330430282024,733.5793552935866
2023-02-20,679.8613571767253,383.17611268032186,975.1501960043188
2023-02-21,674.640573037731,366.140617054051,986.7804959890102
2023-02-22,656.13395999283,360.9620973366615,971.4023274558742
2023-02-23,674.52208266247,364.7524596840151,959.479061089766
2023-02-24,678.1774425415617,387.73351098334695,962.8477684462509
2023-02-25,467.1882549002745,180.98947890960184,775.9500990172114
2023-02-26,451.97552171815016,148.59704232647383,780.691016287544
2023-02-27,698.4285269760027,393.6725616517627,988.3236934047998
2023-02-28,703.7018772028687,394.1745343491408,1010.625536396006
2023-03-01,691.0174191813458,387.8388860415105,994.2159390637466
2023-03-02,710.0826508230341,433.67510306970394,1038.1770700373327
2023-03-03,713.7273385701579,400.5337194882461,1021.1554715510977
2023-03-04,492.89706508915157,163.9358603881481,790.7700929379679
2023-03-05,476.87998321434026,142.85358755771782,786.7205064041889
2023-03-06,734.3690923337784,434.5971031192728,1054.7142060868896
2023-03-07,739.7036693359659,408.33461480271103,1057.029918782988
2023-03-08,719.0542019522875,391.3924080083362,1012.1372023308737
2023-03-09,738.7524477788087,407.2496580732296,1024.4223920248062
2023-03-10,742.3423686065736,427.96863081167544,1047.190447813215
2023-03-11,511.62691449848705,227.04706618332608,839.913084463098
2023-03-12,494.7613891436449,207.1183304805577,799.1377379712286
2023-03-13,763.2425147337348,462.56087778661345,1083.1907970819393
2023-03-14,768.5942311363382,448.27032970558787,1079.7868472400253
2023-03-15,758.9582926925278,431.63554280211093,1049.1971950109423
2023-03-16,779.360429890246,455.80995973658827,1085.2008724916666
2023-03-17,782.9664604853206,478.47546754979567,1095.9335390318083
2023-03-18,542.4366886329434,222.72422557505655,845.6795716124566
2023-03-19,524.7935928533303,233.21255979894792,834.9830477747521
2023-03-20,804.3376149278271,494.27545829048006,1090.3409408696973
2023-03-21,797.2451193640863,482.8666419799178,1097.8013950920579
2023-03-22,774.4087077149377,480.8472376269823,1085.889568213667
2023-03-23,795.372990707203,481.1183822298219,1102.143950471154
2023-03-24,798.8533848675028,489.1900988262687,1105.133843641568
2023-03-25,548.3675467886176,253.95832883861908,848.3688326050709
2023-03-26,529.8051367149772,232.31604072037408,851.3132070431818
2023-03-27,820.2703164224336,477.6813851101182,1116.5686942830373
2023-03-28,825.6562968571516,476.7022516765123,1102.3742894820837
2023-03-29,801.7264088559002,490.30321496169904,1101.732853768846
2023-03-30,823.3237070685489,508.25898289598797,1110.162273442218
2023-03-31,826.7493342199497,520.2271997801644,1115.0174005072197
2023-04-01,586.6958434761923,276.5140546185996,904.7359636472553
2023-04-02,567.3931553612672,253.17369022192514,874.5483884221633
2023-04-03,868.9585289542257,563.7345320024718,1164.4843615525447
2023-04-04,874.4698080960246,546.7487510169424,1171.471021998011
2023-04-05,849.5546104429066,526.8766918573909,1158.1554120016735
2023-04-06,871.8930905634103,565.3879087044608,1177.185816967791
2023-04-07,875.372117399362,595.9119703571037,1183.6735850937923
2023-04-08,605.2240526210218,290.405808272091,898.5715723970736
2023-04-09,585.0729195670835,272.4641238146542,872.9622899570452
2023-04-10,897.630319804272,586.08905299873,1197.4023767154688
2023-04-11,903.1587309616057,582.076730621948,1204.8366054636238
2023-04-12,877.1500569886404,580.2226771590505,1193.0170975868652
2023-04-13,900.1215523108954,582.0891802717169,1199.7473004054118
2023-04-14,903.5458121394987,608.4058263219104,1195.5989607814017
2023-04-15,637.8164998825185,344.7032860316472,944.1298451904975
2023-04-16,616.8877914092936,325.8614251263442,939.0579510872743
2023-04-17,940.5080878034512,627.7358623979883,1234.1448305457875
2023-04-18,946.1245003999637,634.8542770467989,1240.1736692388006
2023-04-19,919.0932195309913,603.8632541797134,1208.2416102210693
2023-04-20,942.7685994786938,650.3507165706956,1254.0629276996824
2023-04-21,931.4797961520411,640.5121273767193,1238.018943867112
2023-04-22,641.5613383578954,345.5784283855001,938.8254710712025
2023-04-23,619.7133156180003,320.56957051918386,921.505850303445
2023-04-24,954.2547693214531,656.6713939223182,1265.286344943247
2023-04-25,959.8174445098457,643.3309380972591,1273.7226095184833
2023-04-26,931.6218178974196,621.660402696905,1224.4680824456639
2023-04-27,955.8593436230392,654.5410785764666,1264.761609569825
2023-04-28,959.1740696440354,673.8346337029619,1272.4844968339885
2023-04-29,659.3704154183647,348.647636037336,973.4300886797372
2023-04-30,636.6739479605487,332.5323727558443,952.9426918972179
2023-05-01,992.8785062692548,680.718731916405,1280.5270742285284
2023-05-02,998.5073005993631,692.4842899504264,1301.300850788515
2023-05-03,969.2671847499033,661.9435027181817,1288.3342727848978
2023-05-04,994.186712825642,694.7019154430278,1277.0426299703447
2023-05-05,997.4956587529831,715.243848506764,1302.4963716513696
2023-05-06,687.8557944771226,383.0575575308554,973.4914398062305
2023-05-07,664.3598690530273,349.4052539523832,972.1680458883501
2023-05-08,1020.9343640766442,708.266316045756,1320.031610392728
2023-05-09,1026.5802904229975,719.8177231715772,1336.6831203760457
2023-05-10,996.2466982032079,679.7695825193017,1294.6735367129825
2023-05-11,1021.7992415099682,695.6843715239462,1322.9009029095723
2023-05-12,1025.053420427436,712.1436634695996,1319.4268898032549
2023-05-13,705.5283591852818,396.8399257701465,1006.0396031215861
2023-05-14,681.18398887886,387.5766265268195,986.8053672540698
2023-05-15,1065.1805429460328,762.0197257597731,1373.6947740801913
2023-05-16,1070.9144707358726,771.7156218082617,1382.6118344867562
2023-05-17,1039.5582715724768,743.2212899757878,1356.850534616039
2023-05-18,1065.8146995373925,765.5525772776523,1370.3094517563345
2023-05-19,1069.0849808720614,775.2979670092145,1391.723656536261
2023-05-20,739.7455920906671,431.0947836393883,1063.8431063229245
2023-05-21,695.6193296014617,395.2180827231135,1013.3902914645096
2023-05-22,1069.7247130375863,777.8612058989638,1364.1360587523657
2023-05-23,1072.0930326352618,771.0220527538572,1382.3838049773985
2023-05-24,1036.7183248619026,719.9385662188188,1357.388506260767
2023-05-25,1060.004664527431,759.1133724417698,1366.339441580228
2023-05-26,1059.9128449739999,757.3188114891082,1343.8384758691786
2023-05-27,724.5897189757909,409.3607234457135,1031.3448143577216
2023-05-28,697.0208872072981,379.4126876406714,1001.4296978148942
2023-05-29,1074.066498131531,763.1181544381368,1405.8671930820024
2023-05-30,1076.4394003257667,761.9620076762588,1386.8568923837358
2023-05-31,1040.7722015302977,731.4233641422254,1338.190868898505
2023-06-01,1076.574091126806,760.3389848352795,1402.8755788164544
2023-06-02,1076.4813797532083,774.5348653629964,1394.6169793582642
2023-06-03,738.5278469472883,432.473110782479,1046.0804520808535
2023-06-04,710.7458246218507,408.3961970065604,999.9092991780645
2023-06-05,1090.7454206926657,772.536870877303,1406.0701987095238
2023-06-06,1093.1366631417093,799.8391037273748,1407.3195030723957
2023-06-07,1057.1907309827075,757.6988452694087,1353.0289421496955
2023-06-08,1080.8294753535777,769.4162228936693,1396.120909442847
2023-06-09,1080.722114501349,756.9784077552087,1427.5305664834489
2023-06-10,740.1244172293694,428.6494460663366,1046.702128238453
2023-06-11,712.1154466886313,414.75784246972273,1004.0655864217115
2023-06-12,1095.055270247625,790.320274163305,1417.869698389873
2023-06-13,1097.45109526695,773.681540375288,1402.7164576821012
2023-06-14,1061.2126720615815,743.8278612703593,1359.093651428014
2023-06-15,1102.297992294041,781.3677390489715,1389.5718784240248
2023-06-16,1102.1949386075014,797.9049529561978,1391.2883338294212
2023-06-17,758.9720335546073,437.78558365734654,1051.8224398650325
2023-06-18,730.7550714550896,406.36300795372904,1032.9331910821534
2023-06-19,1116.6540790914419,817.6368976127461,1412.5483084679806
2023-06-20,1119.0734433772534,789.6980194304664,1421.614665671925
2023-06-21,1065.1704934413756,764.7348108247822,1380.6747004093277
2023-06-22,1089.1478848285788,764.3584308583436,1399.4005905506683
2023-06-23,1089.0112249938354,772.5570056975711,1419.2046012432913
2023-06-24,743.1251988620826,448.301264307313,1052.3706639234579
2023-06-25,714.66233188223,423.22320196174957,1018.7380436688372
2023-06-26,1103.4826102730199,829.547054118252,1415.9907163112387
2023-06-27,1105.88760048535,793.096165458883,1417.056741287283
2023-06-28,1069.064195248657,764.6464783676676,1368.0051973181353
2023-06-29,1093.2109101556337,772.0323304904572,1404.8262455801682
2023-06-30,1093.0596008426207,747.918787433026,1397.0476644513406
2023-07-01,770.755539972247,474.7094731407237,1069.2969335789692
2023-07-02,742.0940037509464,432.162183502647,1044.0777139548693
2023-07-03,1133.8827885352698,843.9798827885811,1434.277803542347
2023-07-04,1136.320640312894,826.1477739771617,1440.7808770004222
2023-07-05,1099.233023029587,813.042189313304,1398.780818972221
2023-07-06,1123.577340425397,808.0275948865626,1398.995996740039
2023-07-07,1121.2538260243591,840.7128054368424,1426.455842587462
2023-07-08,769.2915552735528,470.77897672802504,1101.2279580112638
2023-07-09,739.0751313625565,403.5059714621946,1026.9281929156637
2023-07-10,1129.3047900091965,820.706564611936,1419.5582410352633
2023-07-11,1129.5280079989925,819.3457939362627,1449.5758837824155
2023-07-12,1090.3863697992892,775.5877202460905,1402.4467343027898
2023-07-13,1112.4491737990377,798.85845241718,1416.2825758308368
2023-07-14,1110.137614781963,797.105791046011,1392.74262540637
2023-07-15,777.869344850753,435.81264934117354,1071.8913469426238
2023-07-16,747.8226620501786,425.9298453835848,1052.7083036276442
2023-07-17,1135.6373417354837,838.9496062500167,1434.6739252370583
2023-07-18,1135.8413494188512,839.1316271518151,1437.576265095301
2023-07-19,1096.9229415655227,783.9786340246841,1417.0019476747623
2023-07-20,1118.8320908135872,834.3586398390167,1405.6749432454185
2023-07-21,1099.0737312804722,787.1305630208897,1407.3814042682495
2023-07-22,751.4272457012679,442.9528970889287,1039.3632148484073
2023-07-23,721.5812449449515,422.6101703984109,1040.0576851903875
2023-07-24,1107.0118866022315,800.5974164423685,1390.9184977449193
2023-07-25,1107.227624912836,800.3293064351436,1417.795196719219
2023-07-26,1068.5633883393111,745.5098296290223,1380.6711323173533
2023-07-27,1090.3498237692027,789.3009405646632,1382.6497820598954
2023-07-28,1088.0621755199136,802.8957615227182,1402.452899559567
2023-07-29,742.5735825265599,444.84835859696153,1053.509310490534
2023-07-30,711.7376727097206,401.6297640928933,1022.9210487325097
2023-07-31,1092.3277233263539,783.9597362808597,1402.1462993270607
2023-08-01,1103.1994384751301,798.0403222420626,1408.8173013792782
2023-08-02,1063.1794475969534,766.7908084993671,1367.9055286700593
2023-08-03,1082.8606845866645,776.603614729441,1387.2265128521026
2023-08-04,1078.7804850461866,763.7747490120581,1373.734921953965
2023-08-05,737.606072727009,435.7812138319807,1038.8433661570969
2023-08-06,707.2649213449648,400.8576898307057,1002.9027447823808
2023-08-07,1080.9995601229912,788.973361379821,1388.8050089584285
2023-08-08,1079.3549857306432,742.3713663265577,1391.1660166714144
2023-08-09,1040.0137885212646,731.5913507586088,1344.878122192932
2023-08-10,1059.3020707633775,766.4882313747779,1359.4829731987543
2023-08-11,1055.2558687564385,761.5240258390908,1361.9730800227494
2023-08-12,720.2178570910379,419.95646194387984,1025.4534143652684
2023-08-13,690.4033920004639,392.32857827312114,992.1714077678855
2023-08-14,1057.3145467962445,751.025893170489,1343.6148437259355
2023-08-15,1072.2309717070325,768.6713008580675,1376.992063311662
2023-08-16,1033.5245747890212,705.461665230681,1329.135433738111
2023-08-17,1052.3759089065968,742.0059029704429,1340.1029844549835
2023-08-18,1048.3197110560307,740.2784586071793,1359.8676269886603
2023-08-19,719.3741066672133,413.15099272164747,1018.5509290690102
2023-08-20,690.0423344909424,394.20404428741784,987.5219957412833
2023-08-21,1033.7783379030968,708.9788029296383,1344.1005267107191
2023-08-22,1032.112494186418,719.7722360129403,1328.1411334491793
2023-08-23,994.1288849146828,686.2597726879787,1302.2459859007088
2023-08-24,1012.6312583242828,708.1077101192427,1312.5891280663868
2023-08-25,1008.6530520170509,705.0784657401723,1303.4632118272411
2023-08-26,685.8878412840148,381.839387687241,998.125146511947
2023-08-27,657.1267491073739,350.5004100925143,982.759433349339
2023-08-28,1010.3909379325507,714.7326436407071,1326.91678387058
2023-08-29,1008.7144592337123,717.12153227552,1301.8906766229495
2023-08-30,971.4096434740294,664.7153805167819,1313.2924306984787
2023-08-31,989.5190622268134,687.9861727993591,1290.1169290579846
2023-09-01,997.0588166704198,691.8519567110515,1305.740102069123
2023-09-02,680.3980773253387,353.14351992164814,993.4042436470867
2023-09-03,652.1317434692874,336.57655851735717,990.8595575377865
2023-09-04,998.5405220382388,695.2634547936079,1293.9742914165454
2023-09-05,996.8214805082977,696.3472746117058,1293.4235217861255
2023-09-06,960.16353041116,628.6881297382452,1270.5631673602295
2023-09-07,977.8480666579842,656.9148167339081,1295.7806903943524
2023-09-08,973.9059275528447,655.3646010095105,1285.2406294757275
2023-09-09,663.3815874450411,354.49615753840067,968.4787909349864
2023-09-10,635.6419397588818,322.88335998267183,956.7344044914786
2023-09-11,975.2272359208608,661.0752230872939,1276.1567884546246
2023-09-12,973.4975594087963,677.6679696404211,1290.737486744277
2023-09-13,937.5184028237118,626.8257723791655,1268.035225310533
2023-09-14,954.8099844137897,643.2342692159243,1260.1012066458031
2023-09-15,966.1096835751124,662.6455096872396,1283.9109474883603
2023-09-16,661.6777496706593,350.5637308046632,974.6564799018716
2023-09-17,634.420795329044,327.41046805031493,931.3079883801303
2023-09-18,967.1386175508959,671.966180112471,1284.310272881861
2023-09-19,965.3543135948562,645.2628889740737,1257.7743845221153
2023-09-20,930.0099578730448,621.1680189079656,1223.265864751615
2023-09-21,931.920712692796,599.0481726102136,1235.3865144461638
2023-09-22,928.0465695052831,629.3597806126548,1238.5429307546826
2023-09-23,629.7950262342948,322.3991807175707,944.0627038635893
2023-09-24,603.1087512475856,283.6617585873162,908.9082997937088
2023-09-25,929.047086591412,645.905824481478,1216.5940758524434
2023-09-26,927.2961410095828,630.2625642547639,1229.2896757101478
2023-09-27,892.6745719363964,586.8103353343835,1182.4801583602684
2023-09-28,909.1802453234052,600.3314301254363,1214.795473969726
2023-09-29,905.3400996507219,609.8195480704946,1182.0731772449753
2023-09-30,613.2249536600483,313.98053199328297,939.8577967422542
2023-10-01,608.7018992337585,294.0158116190924,907.9042916775602
2023-10-02,927.7511264348583,649.1806315421431,1254.1787358711633
2023-10-03,925.9239179626421,621.5032790207497,1240.4375087714093
2023-10-04,891.9155142733817,585.0207454827944,1204.4600365689796
2023-10-05,907.9626052172026,579.3410338908292,1218.7767181096376
2023-10-06,904.0908291476077,617.3411893858769,1197.3824007643025
2023-10-07,618.0464525256466,317.09167873631753,909.4602781968391
2023-10-08,592.347947140093,272.9184677506973,883.6376953619479
2023-10-09,904.5737467527072,582.9365430449058,1187.6786802754607
2023-10-10,902.7359425044453,620.3136439437711,1227.1012971890111
2023-10-11,869.4063659229028,551.750118345443,1194.0995162474846
2023-10-12,885.0605441328388,596.0897843693369,1206.3164153674625
2023-10-13,881.2228038924495,567.4663459764862,1193.8405680247458
2023-10-14,601.3147779727304,293.72435806672684,903.2302136515164
2023-10-15,590.0309954353644,266.719331095694,904.966705800111
2023-10-16,895.3894168954855,599.1743295524619,1221.6398694525262
2023-10-17,893.4969850747116,591.689122802737,1192.7764704519223
2023-10-18,860.8021996145637,553.928180748096,1201.9063571362185
2023-10-19,876.0194360119209,567.5041986445227,1166.0068884678853
2023-10-20,872.1717000723128,581.5128442838029,1171.632365117057
2023-10-21,584.7319057035215,295.985878377489,877.7407130885045
2023-10-22,560.0867576841111,258.36289080705853,874.0316168895827
2023-10-23,858.665786474861,553.310762652394,1183.3929703153715
2023-10-24,856.8067125649646,574.6649467386983,1182.648365436301
2023-10-25,824.8347037093401,522.9772803929031,1130.177664382054
2023-10-26,839.7029837773922,556.9902254518506,1141.6976317723859
2023-10-27,835.9332376218232,544.222838093882,1143.7912107912532
2023-10-28,568.2978357181956,265.1744753022832,868.7233942004277
2023-10-30,835.9350097616317,521.4059884643225,1151.4442358758279
2023-10-31,834.0653010208555,517.7264104457779,1136.4671589102193
2023-11-01,812.4233164687801,507.8129619606913,1106.3318563218672
2023-11-02,826.9864546769279,503.9675611739719,1138.1705304618285
2023-11-03,823.3356546970002,513.4993336918259,1135.2948396245472
2023-11-04,561.7739528537102,249.42762713061146,855.9607148806666
2023-11-05,538.2148640092604,243.19224248668448,833.4694840746843
2023-11-06,823.4396865429835,531.8627105531219,1121.9273928152124
2023-11-07,821.6466323653837,529.3171772037746,1131.3776749837655
2023-11-08,791.0864590517933,487.19653944000004,1112.0897324541559
2023-11-09,805.2732448517814,488.1251452452923,1111.1651281844936
2023-11-10,801.6550060095378,480.4912037638698,1107.4610824775111
2023-11-11,545.9704418716575,256.1349765729512,846.219163817501
2023-11-12,522.9157868210219,205.01122741998404,847.3897218216964
2023-11-13,801.6054175939037,485.33932754123504,1124.4621645638317
2023-11-14,799.802177760069,513.6783718312292,1091.7801099204846
2023-11-15,782.4442595272586,453.56469598508744,1076.7884212112656
2023-11-16,796.212558262345,478.4161928137032,1084.412712272642
2023-11-17,792.5847459008737,473.10917814332606,1105.5626242556773
2023-11-18,542.7351848115527,222.6435117725435,826.1485203301835
2023-11-19,520.142828897955,219.8756029178242,813.9575022339791
2023-11-20,792.2551332532964,468.65318961504914,1088.7831932649542
2023-11-21,778.1002406003454,472.1146184526243,1065.9399012527385
2023-11-22,748.8402965545463,449.91695698904925,1050.9409269910864
2023-11-23,762.2743775384043,461.9557347220615,1080.2902644455046
2023-11-24,759.4247248760627,449.6777411238554,1078.5942650955667
2023-11-25,515.7488858262203,217.40419487745183,828.9507878261295
2023-11-26,494.1253152549009,193.38832608605432,799.4613197243651
2023-11-27,761.2064761379764,452.992676463169,1077.2105854568117
2023-11-28,760.0972725803401,460.56965891599157,1065.5081023385526
2023-11-29,732.0518056568178,406.07850459634625,1051.7143874598742
2023-11-30,745.8998748613309,431.9380311128189,1047.24587036428
2023-12-01,751.3468667847557,441.9255061619222,1050.2975841848056
2023-12-02,511.9525656464682,202.6865149152406,806.3327014621553
2023-12-03,490.6769857721173,167.10630921534914,790.0268949661695
2023-12-04,752.9521776425917,470.8343071387752,1044.1088896452493
2023-12-05,751.8141936182597,444.90575485036703,1042.329069060197
2023-12-06,724.2233755049681,436.5537044909563,1012.5227725368129
2023-12-07,737.774580568322,455.0778362458832,1070.4429827535112
2023-12-08,734.9512830486038,400.4388796785596,1043.7876493943086
2023-12-09,499.85984300806746,209.64248784466773,822.544540444628
2023-12-10,478.9535770169112,191.99556950064746,804.3340948043818
2023-12-11,736.4441230609384,435.9270069546432,1051.8906352592626
2023-12-12,735.2986817560443,433.10003450253686,1051.837005615663
2023-12-13,708.1838356392306,408.7174398024332,1033.1143401989766
2023-12-14,721.4594997476519,379.7895947040175,1070.7348375378194
2023-12-15,730.1964424765064,423.13148640255463,1045.196248740403
2023-12-16,499.37701525604706,192.80408667926417,795.9801791775353
2023-12-17,478.809214870488,184.38068706483335,772.4920395994752
2023-12-18,731.4842697453108,425.541954558418,1031.3005843847861
2023-12-19,730.3005258237991,459.11801628374656,1034.6607156439597
2023-12-20,703.6308060651056,403.60935122171577,997.6485345466522
2023-12-21,705.2487724183018,382.5753524874783,1001.2481980192246
2023-12-22,702.4731560629114,391.2898770500007,1002.2396847876245
2023-12-23,475.9874355868723,151.78412320421253,781.1795490075654
2023-12-24,455.81979875948394,154.422546551048,752.9727017692423
2023-12-25,538.9204738348634,243.10234311599856,840.1409149942317
2023-12-26,153.92962949024238,-168.72632710469983,459.82392857359656
2023-12-27,676.4178099633245,373.69676774949835,1006.5505860817154
2023-12-28,689.1423956053331,359.3565370810523,999.7715580945904
2023-12-29,686.390618378972,385.84939861799865,1009.8310353616897
2023-12-30,464.20775259578596,152.54181416239342,757.4102815148073
2023-12-31,444.4094291018839,129.77371685647128,762.571830658364
2024-01-01,689.0486767308146,392.23203635093097,975.487540816808
2024-01-02,687.876657156997,382.33118811924766,1003.7693330724055
2024-01-03,662.1855188608505,359.7755901257491,962.2290626222065
2024-01-04,674.6303546128494,376.47191069638245,992.1876388769269
2024-01-05,671.8982071702155,363.34349510632865,978.913617420853
2024-01-06,454.0139867348143,139.92918805005243,751.4200809852213
2024-01-07,434.5807672291877,148.0433856202373,755.0025669375121
2024-01-08,672.9285448769674,381.3815080633847,981.1867758740574
2024-01-09,671.7490680337937,370.09644265706896,976.9261296966454
2024-01-10,650.3667254946347,356.49622028736536,956.0879800690882
2024-01-11,666.5356395685861,360.8628253016667,977.9363754219421
2024-01-12,667.7290661146584,374.01829596151117,994.1236996500355
2024-01-13,452.995734128564,135.6189873115018,771.5491149415815
2024-01-14,436.04418611083446,113.20367890806399,729.7195271654633
